chrom	start	end	num	list	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-ChIC-PMC-DRO-T1/narrow/SCC-ChIC-PMC-DRO-T1_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-ChIC-PMC-DRO-T5/narrow/SCC-ChIC-PMC-DRO-T5_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/bulkChIC-PMC-DRO-016/narrow/bulkChIC-PMC-DRO-016_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-bulkChIC-PMC-DRO-008/narrow/SCC-bulkChIC-PMC-DRO-008_paired_control_peaks.narrowPeak
GL000008.2	158	1112	1	3	0	0	1	0
GL000008.2	1435	2707	1	3	0	0	1	0
GL000008.2	3471	3786	1	4	0	0	0	1
GL000009.2	200768	201049	1	4	0	0	0	1
GL000195.1	66720	67307	1	4	0	0	0	1
GL000205.2	3933	4325	1	4	0	0	0	1
GL000205.2	4847	5593	1	4	0	0	0	1
GL000205.2	7167	7528	1	3	0	0	1	0
GL000205.2	10419	10901	1	4	0	0	0	1
GL000205.2	11626	12331	1	4	0	0	0	1
GL000205.2	14985	15520	1	4	0	0	0	1
GL000208.1	45683	46006	1	3	0	0	1	0
GL000216.2	2836	3182	1	4	0	0	0	1
GL000216.2	42818	43331	1	4	0	0	0	1
GL000216.2	46131	46479	1	4	0	0	0	1
GL000216.2	49608	50427	1	4	0	0	0	1
GL000216.2	51478	51750	1	4	0	0	0	1
GL000216.2	52025	52302	1	4	0	0	0	1
GL000216.2	64391	64971	1	4	0	0	0	1
GL000216.2	67544	68026	1	4	0	0	0	1
GL000216.2	71978	72273	1	4	0	0	0	1
GL000219.1	170068	170471	1	3	0	0	1	0
GL000219.1	176135	176407	1	4	0	0	0	1
GL000219.1	176939	177200	1	3	0	0	1	0
KI270435.1	2662	2765	1	4	0	0	0	1
KI270435.1	2765	3045	2	3,4	0	0	1	1
KI270438.1	56970	57272	1	4	0	0	0	1
KI270438.1	62191	62470	1	4	0	0	0	1
KI270438.1	64827	64993	1	3	0	0	1	0
KI270438.1	64993	65207	2	3,4	0	0	1	1
KI270438.1	65207	65958	1	4	0	0	0	1
KI270438.1	81028	81433	1	3	0	0	1	0
KI270438.1	81433	81887	2	3,4	0	0	1	1
KI270438.1	81887	82075	1	3	0	0	1	0
KI270438.1	84787	85087	1	4	0	0	0	1
KI270438.1	92144	92469	1	3	0	0	1	0
KI270438.1	95703	96474	1	4	0	0	0	1
KI270438.1	96771	97094	1	4	0	0	0	1
KI270438.1	104061	104343	2	3,4	0	0	1	1
KI270438.1	104343	104361	1	3	0	0	1	0
KI270438.1	105560	105850	1	4	0	0	0	1
KI270438.1	109374	109390	1	3	0	0	1	0
KI270438.1	109390	109861	2	3,4	0	0	1	1
KI270438.1	109861	109879	1	4	0	0	0	1
KI270442.1	1148	1470	1	4	0	0	0	1
KI270442.1	11773	12166	1	3	0	0	1	0
KI270442.1	15488	15689	1	1	1	0	0	0
KI270442.1	17218	18099	1	4	0	0	0	1
KI270442.1	33898	34191	1	4	0	0	0	1
KI270442.1	49608	50286	1	4	0	0	0	1
KI270442.1	62184	62554	1	4	0	0	0	1
KI270442.1	71509	71961	1	3	0	0	1	0
KI270442.1	98220	98503	1	4	0	0	0	1
KI270442.1	112724	113053	1	4	0	0	0	1
KI270442.1	142552	143189	1	4	0	0	0	1
KI270442.1	155424	155459	1	3	0	0	1	0
KI270442.1	155459	155739	2	3,4	0	0	1	1
KI270442.1	155739	155838	1	4	0	0	0	1
KI270442.1	170142	170305	1	4	0	0	0	1
KI270442.1	170305	170463	2	3,4	0	0	1	1
KI270442.1	170463	170603	1	3	0	0	1	0
KI270442.1	171108	171177	1	3	0	0	1	0
KI270442.1	171177	171460	2	3,4	0	0	1	1
KI270467.1	2107	2921	1	4	0	0	0	1
KI270467.1	2921	3465	2	3,4	0	0	1	1
KI270467.1	3465	3760	1	4	0	0	0	1
KI270517.1	2273	3110	1	4	0	0	0	1
KI270519.1	83969	84323	1	4	0	0	0	1
KI270538.1	32545	32930	1	4	0	0	0	1
KI270590.1	1903	2387	1	3	0	0	1	0
KI270590.1	2387	2660	2	3,4	0	0	1	1
KI270590.1	2660	3012	1	3	0	0	1	0
KI270591.1	4096	4349	1	3	0	0	1	0
KI270709.1	1612	1651	1	3	0	0	1	0
KI270709.1	1651	2034	2	3,4	0	0	1	1
KI270709.1	2034	2103	1	4	0	0	0	1
KI270709.1	14594	14884	1	4	0	0	0	1
KI270709.1	17746	18034	1	4	0	0	0	1
KI270709.1	18489	19753	1	4	0	0	0	1
KI270709.1	43388	43718	1	4	0	0	0	1
KI270716.1	3752	4335	1	4	0	0	0	1
KI270729.1	2216	2588	1	3	0	0	1	0
KI270729.1	4902	5306	1	3	0	0	1	0
KI270729.1	28586	28929	1	4	0	0	0	1
KI270729.1	34900	35238	1	4	0	0	0	1
KI270729.1	37481	38088	1	4	0	0	0	1
KI270729.1	39071	39556	1	4	0	0	0	1
KI270729.1	40112	40431	1	4	0	0	0	1
KI270729.1	48288	48722	1	4	0	0	0	1
KI270729.1	59509	60330	1	4	0	0	0	1
KI270729.1	61675	61975	1	4	0	0	0	1
KI270729.1	63606	64134	1	3	0	0	1	0
KI270729.1	110101	110841	1	4	0	0	0	1
KI270729.1	111962	112624	1	4	0	0	0	1
KI270729.1	114297	115395	1	4	0	0	0	1
KI270729.1	126184	126581	1	3	0	0	1	0
KI270729.1	128097	128391	1	4	0	0	0	1
KI270729.1	131316	131855	1	4	0	0	0	1
KI270729.1	138207	138888	1	4	0	0	0	1
KI270729.1	140071	140372	1	4	0	0	0	1
KI270729.1	155366	156078	1	4	0	0	0	1
KI270729.1	159902	160278	1	3	0	0	1	0
KI270729.1	162378	162792	1	3	0	0	1	0
KI270729.1	165110	165489	1	4	0	0	0	1
KI270729.1	171754	172204	1	4	0	0	0	1
KI270729.1	173403	173680	1	4	0	0	0	1
KI270730.1	85683	85989	1	4	0	0	0	1
KI270730.1	98219	98471	1	4	0	0	0	1
KI270730.1	98471	98835	2	3,4	0	0	1	1
KI270730.1	98835	98894	1	4	0	0	0	1
KI270733.1	145191	145552	1	3	0	0	1	0
KI270733.1	145763	145963	1	4	0	0	0	1
KI270733.1	145963	146360	2	3,4	0	0	1	1
KI270733.1	146360	146487	1	3	0	0	1	0
KI270733.1	146743	146750	1	3	0	0	1	0
KI270733.1	146750	147056	2	3,4	0	0	1	1
KI270733.1	147056	147538	1	3	0	0	1	0
KI270733.1	149145	149428	1	3	0	0	1	0
KI270733.1	149758	150770	1	4	0	0	0	1
KI270733.1	151330	151368	1	4	0	0	0	1
KI270733.1	151368	151625	2	3,4	0	0	1	1
KI270733.1	151625	151671	1	3	0	0	1	0
