chrom	start	end	num	list	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-ChIC-PMC-DRO-L1/narrow/SCC-ChIC-PMC-DRO-L1_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-ChIC-PMC-DRO-L5/narrow/SCC-ChIC-PMC-DRO-L5_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/bulkChIC-PMC-DRO-014/narrow/bulkChIC-PMC-DRO-014_paired_control_peaks.narrowPeak	/hpc/pmc_drost/PROJECTS/swang/CUT_RUN/nhung_test/peakCalling/SCC-bulkChIC-PMC-DRO-005/narrow/SCC-bulkChIC-PMC-DRO-005_paired_control_peaks.narrowPeak
GL000008.2	141	779	1	3	0	0	1	0
GL000008.2	1494	2088	1	3	0	0	1	0
GL000008.2	2088	2165	2	3,4	0	0	1	1
GL000008.2	2165	2626	1	4	0	0	0	1
GL000008.2	2626	2644	2	3,4	0	0	1	1
GL000008.2	2644	2893	1	3	0	0	1	0
GL000008.2	2893	2982	2	3,4	0	0	1	1
GL000008.2	2982	3264	1	4	0	0	0	1
GL000008.2	3264	3795	2	3,4	0	0	1	1
GL000008.2	3795	3806	1	4	0	0	0	1
GL000205.2	563	600	1	4	0	0	0	1
GL000205.2	600	861	2	3,4	0	0	1	1
GL000205.2	2318	2689	1	4	0	0	0	1
GL000205.2	3014	3699	1	4	0	0	0	1
GL000205.2	4010	4220	1	3	0	0	1	0
GL000205.2	4220	4475	2	3,4	0	0	1	1
GL000205.2	4475	4487	1	4	0	0	0	1
GL000205.2	5266	5432	1	4	0	0	0	1
GL000205.2	5432	5734	2	3,4	0	0	1	1
GL000205.2	5734	5763	1	3	0	0	1	0
GL000205.2	6850	8192	1	4	0	0	0	1
GL000205.2	8635	9174	1	4	0	0	0	1
GL000205.2	9795	10551	1	4	0	0	0	1
GL000205.2	13938	14286	1	4	0	0	0	1
GL000205.2	41335	41721	1	3	0	0	1	0
GL000208.1	46840	47630	1	4	0	0	0	1
GL000216.2	36772	37050	1	4	0	0	0	1
GL000216.2	61735	62101	1	3	0	0	1	0
GL000216.2	72747	73019	1	3	0	0	1	0
GL000219.1	169884	170149	1	3	0	0	1	0
GL000219.1	171986	172353	1	4	0	0	0	1
GL000219.1	176138	176145	1	4	0	0	0	1
GL000219.1	176145	176406	2	3,4	0	0	1	1
GL000219.1	176406	176408	1	4	0	0	0	1
GL000224.1	36425	36688	1	4	0	0	0	1
KI270438.1	777	1043	1	3	0	0	1	0
KI270438.1	1270	1581	1	4	0	0	0	1
KI270438.1	60303	60679	1	4	0	0	0	1
KI270438.1	82242	82512	1	4	0	0	0	1
KI270438.1	86185	86462	1	3	0	0	1	0
KI270438.1	92132	92404	1	4	0	0	0	1
KI270438.1	104063	104359	1	3	0	0	1	0
KI270438.1	105621	105942	1	3	0	0	1	0
KI270438.1	109367	109386	1	3	0	0	1	0
KI270438.1	109386	109655	2	3,4	0	0	1	1
KI270438.1	109655	109878	1	3	0	0	1	0
KI270442.1	400	652	1	4	0	0	0	1
KI270442.1	3615	4215	1	4	0	0	0	1
KI270442.1	11298	11322	1	4	0	0	0	1
KI270442.1	11322	11641	2	3,4	0	0	1	1
KI270442.1	11641	11697	1	3	0	0	1	0
KI270442.1	19045	19748	1	3	0	0	1	0
KI270442.1	74340	74628	1	4	0	0	0	1
KI270442.1	96136	96425	1	3	0	0	1	0
KI270442.1	102285	102667	1	4	0	0	0	1
KI270442.1	135520	135773	1	4	0	0	0	1
KI270442.1	143032	143371	1	4	0	0	0	1
KI270442.1	155290	155587	1	3	0	0	1	0
KI270442.1	164454	164844	1	3	0	0	1	0
